,Country,2015 Rank,2015 HS,15Free,2015 DysRes,2016 Rank,2016 HS,16Free,2016 DysRes,2017 Rank,2017 HS,17Free,2017 DysRes
87,Portugal,88,5.102,0.51469,1.26462,94.0,5.123,0.44727,1.53015,89.0,5.195,0.49847,1.10768
88,Latvia,89,5.098,0.29671,1.62215,68.0,5.56,0.27996,2.20859,54.0,5.85,0.32571,1.99366
89,Philippines,90,5.073,0.62545,1.7536,82.0,5.279,0.54854,2.23484,72.0,5.43,0.58521,1.9726
91,Morocco,92,5.013,0.41691,2.45373,90.0,5.151,0.25646,2.94891,84.0,5.235,0.40816,2.45619
92,Macedonia,93,5.007,0.33457,1.73933,95.0,5.121,0.27668,2.08947,92.0,5.175,0.32591,1.61747
94,Albania,95,4.959,0.35733,1.89894,109.0,4.655,0.31866,1.92816,109.0,4.644,0.3815,1.49044
95,Bosnia and Herzegovina,96,4.949,0.09245,2.06367,87.0,5.163,0.09511,2.48406,90.0,5.182,0.2044,1.89217
97,Dominican Republic,98,4.885,0.57672,1.21305,89.0,5.155,0.52259,1.69626,86.0,5.23,0.55259,1.31947
99,Mongolia,100,4.874,0.43626,1.34759,101.0,4.907,0.35972,1.53586,100.0,4.955,0.39414,1.11129
101,Greece,102,4.857,0.07699,1.80101,99.0,5.033,0.05822,2.12944,87.0,5.227,0.09573,1.74922
102,Lebanon,103,4.839,0.33916,1.57059,93.0,5.129,0.26228,2.07339,88.0,5.225,0.28852,1.69507
103,Hungary,104,4.8,0.32112,1.24074,91.0,5.145,0.1977,1.95473,75.0,5.324,0.17586,1.71646
104,Honduras,105,4.788,0.40148,1.84408,104.0,4.871,0.26755,2.29551,91.0,5.181,0.34808,2.06581
105,Tajikistan,106,4.786,0.47216,2.11399,100.0,4.996,0.43408,2.39106,96.0,5.041,0.47157,1.84905
106,Tunisia,107,4.739,0.26268,2.12466,98.0,5.045,0.23553,2.68413,102.0,4.805,0.28968,1.89025
107,Palestinian Territories,108,4.715,0.24499,2.04384,108.0,4.754,0.17744,2.40364,103.0,4.775,0.25471,1.87889
108,Bangladesh,109,4.694,0.4082,2.51767,110.0,4.643,0.39778,2.60904,110.0,4.608,0.47836,1.97874
109,Iran,110,4.686,0.30033,1.6944,105.0,4.813,0.22544,1.99817,108.0,4.692,0.24932,1.49873
110,Ukraine,111,4.681,0.25123,1.5714,123.0,4.324,0.12859,1.50066,132.0,4.096,0.12297,0.81438
111,Iraq,112,4.677,0.0,1.95335,112.0,4.575,0.24856,1.81657,117.0,4.497,0.28856,1.31891
112,South Africa,113,4.642,0.33207,1.71956,116.0,4.459,0.42483,1.64227,101.0,4.829,0.47925,1.51091
113,Ghana,114,4.633,0.42342,2.30919,124.0,4.276,0.40973,2.2002,131.0,4.12,0.42303,1.57787
114,Zimbabwe,115,4.61,0.25861,2.44191,131.0,4.193,0.25429,2.4427,138.0,3.875,0.33638,1.59797
115,Liberia,116,4.571,0.28531,2.77729,150.0,3.622,0.25748,2.23284,148.0,3.533,0.33288,1.67329
116,India,117,4.565,0.39786,2.27513,118.0,4.404,0.40285,2.18032,122.0,4.315,0.46999,1.51912
117,Sudan,118,4.55,0.10081,2.20857,133.0,4.139,0.0,2.10995,130.0,4.139,0.015,1.68707
118,Haiti,119,4.518,0.24425,2.24173,136.0,4.028,0.12072,2.37116,145.0,3.603,0.03037,1.69717
119,Congo (Kinshasa),120,4.517,0.22605,2.86712,125.0,4.272,0.15602,2.74924,126.0,4.28,0.23596,2.22496
120,Nepal,121,4.514,0.38282,1.95637,107.0,4.793,0.37012,2.32694,99.0,4.962,0.44031,1.89124
121,Ethiopia,122,4.512,0.4345,2.44876,115.0,4.508,0.36703,2.65614,119.0,4.46,0.40884,2.01574
122,Sierra Leone,123,4.507,0.4084,2.51009,111.0,4.635,0.30685,3.01402,106.0,4.709,0.3187,2.66846
123,Mauritania,124,4.436,0.24232,2.11773,130.0,4.201,0.1268,1.9263,123.0,4.292,0.0961,1.65164
124,Kenya,125,4.419,0.42215,1.78555,122.0,4.356,0.40576,1.88326,112.0,4.553,0.45276,1.6519
126,Armenia,127,4.35,0.19847,1.75873,121.0,4.36,0.14037,1.97864,121.0,4.376,0.1983,1.5215
127,Botswana,128,4.332,0.49495,1.46181,137.0,3.974,0.44089,0.96741,142.0,3.766,0.5052,0.37791
128,Myanmar,129,4.307,0.44017,1.41805,119.0,4.395,0.42692,1.50655,114.0,4.545,0.51449,1.11529
129,Georgia,130,4.297,0.40577,1.59541,126.0,4.252,0.32461,1.87031,125.0,4.286,0.30941,1.50014
130,Malawi,131,4.292,0.43054,2.80791,132.0,4.156,0.4143,2.82859,136.0,3.97,0.46691,2.08179
131,Sri Lanka,132,4.271,0.53726,0.67108,117.0,4.415,0.50817,0.91681,120.0,4.44,0.56121,0.41939
132,Cameroon,133,4.252,0.49309,1.95071,114.0,4.513,0.42736,2.5198,107.0,4.695,0.43039,2.33365
133,Bulgaria,134,4.218,0.30587,0.89991,129.0,4.217,0.21219,1.15377,105.0,4.714,0.28923,0.99614
134,Egypt,135,4.194,0.17288,1.59927,120.0,4.362,0.18847,1.96895,104.0,4.735,0.28211,1.70216
135,Yemen,136,4.077,0.35571,1.92313,147.0,3.724,0.2287,1.97295,146.0,3.593,0.24946,1.3456
136,Angola,137,4.033,0.10384,1.94939,141.0,3.866,0.00589,2.09459,140.0,3.795,0.0,1.61448
137,Mali,138,3.995,0.38857,1.79293,135.0,4.073,0.27544,2.11087,127.0,4.19,0.30661,1.66819
138,Congo (Brazzaville),139,3.989,0.41466,1.68135,127.0,4.236,0.37938,2.10681,124.0,4.291,0.43503,1.72414
140,Uganda,141,3.931,0.45727,1.42766,145.0,3.739,0.43653,1.51416,133.0,4.081,0.44319,1.52636
141,Senegal,142,3.904,0.36772,1.44395,128.0,4.219,0.31056,1.97861,115.0,4.535,0.37792,1.78965
142,Gabon,143,3.896,0.31914,0.99895,134.0,4.121,0.28098,1.45332,118.0,4.465,0.31233,1.32292
143,Niger,144,3.845,0.47692,1.87877,142.0,3.856,0.38041,2.09469,135.0,4.028,0.36366,1.87398
144,Cambodia,145,3.819,0.66246,0.98195,140.0,3.907,0.58852,1.31573,129.0,4.168,0.63338,1.04294
145,Tanzania,146,3.781,0.32878,1.38079,149.0,3.666,0.3176,1.37769,153.0,3.349,0.39002,0.62113
146,Madagascar,147,3.681,0.19184,1.851,148.0,3.695,0.13684,2.15075,144.0,3.644,0.1892,1.58461
148,Chad,149,3.667,0.23501,1.94296,144.0,3.763,0.12807,2.30637,137.0,3.936,0.16234,2.07124
149,Guinea,150,3.656,0.37725,1.99172,151.0,3.607,0.30953,2.15604,149.0,3.507,0.34859,1.55231
150,Ivory Coast,151,3.655,0.46866,1.41723,139.0,3.916,0.40663,1.97478,128.0,4.18,0.44771,1.84496
151,Burkina Faso,152,3.587,0.39493,1.46494,145.0,3.739,0.3337,1.87319,134.0,4.032,0.32437,1.72721
152,Afghanistan,153,3.575,0.23414,1.9521,154.0,3.36,0.1643,2.14558,141.0,3.794,0.10618,2.1508
153,Rwanda,154,3.465,0.59201,0.67042,152.0,3.515,0.5432,0.96819,151.0,3.471,0.58184,0.54006
154,Benin,155,3.34,0.4845,1.63328,153.0,3.484,0.39747,2.10812,143.0,3.657,0.42596,1.88563
155,Syria,156,3.006,0.15684,0.32858,156.0,3.069,0.06912,0.81789,152.0,3.462,0.08154,1.06157
156,Burundi,157,2.905,0.1185,1.83302,157.0,2.905,0.0432,2.10404,154.0,2.905,0.0599,1.68302
157,Togo,158,2.839,0.36453,1.56726,155.0,3.303,0.34678,2.1354,150.0,3.495,0.38043,1.83723
